"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","TL","VI"
"TID_FORGE_COST","Cost: <number> <resource>","Coût : <number> <resource>","Kosten: <number> <resource>","Coste: <number> de <resource>","Costo: <number> <resource>","Kosten: <number> <resource>","Pris: <number> <resource>","Custo: <number> <resource>","Maliyet: <number> <resource>","コスト： <number> <resource>","费用：<number> <resource>","비용: <resource> <number>개","Цена: <resource>, <number>","التكلفة: <number> <resource>","花費：<number>個<resource>","هزینه: <number> <resource>","Biaya: <number> <resource>","Kos: <number> <resource>","Halaga: <number> <resource>","Chi phí: <number> <resource>"
"TID_SPELL_SPEED_UP_SUCCESS","Spell brewing finished!","Concoction du sort terminée !","Zauber gebraut!","¡Elaboración de hechizo finalizada!","Preparazione incantesimo completata!","Spreuk is gebrouwen!","Formelbrygging ferdig!","Feitiço preparado!","Büyü üretimi bitti!","呪文が生成されました！","法术配制完成！","마법 제조 완료!","Приготовление заклинания завершено!","انتهت صناعة السحر!","法術配製完成！","آمیختن طلسم تمام شد!","Peracikan mantra selesai!","Selesai membru sihir!","Tapos nang mag-brew ng Spell!","Hoàn thành luyện chú!"
"TID_NOT_ENOUGH_SPELL_STORAGE","Your Spell Storage is at full capacity!","Votre réserve de sorts est pleine !","Dein Zauberlager ist voll!","El almacén de hechizos está a su máxima capacidad.","Il tuo deposito di incantesimi è pieno!","Je spreukenopslag heeft zijn limiet bereikt!","Formellageret er ved full kapasitet!","O armazenamento de feitiços atingiu a capacidade máxima!","Büyü Depon tam kapasiteye ulaştı!","呪文置き場に空きがありません！","法术工厂已满！","마법 저장소가 가득 찼습니다!","Ваше хранилище заклинаний переполнено!","سعة تخزين العناصر السحرية لديك ممتلئة بالكامل!","您的法術工廠容量已滿！","گنجایش مخزن طلسم شما پر شده است!","Kapasitas Penyimpanan Mantramu penuh!","Penyimpanan Sihir anda pada kapasiti penuh!","Puno na ang Spell Storage mo!","Kho chứa Thần chú của bạn đã đầy!"
"TID_LIGHTNING_STORM","Lightning Spell","Sort de foudre","Blitzzauber","Hechizo de rayo","Fulmine","Bliksemspreuk","Lynformel","Feitiço de Relâmpago","Yıldırım Büyüsü","ライトニングの呪文","雷电法术","번개 마법","Молниеносное Заклинание","سحر البرق","雷電法術","طلسم رعد و برق","Mantra Kilat","Sihir Kilat","Lightning Spell","Thần chú Sấm sét"
"TID_HEALING_WAVE","Healing Spell","Sort de guérison","Heilungszauber","Hechizo curativo","Guarigione","Genezingsspreuk","Helbredelsesformel","Feitiço de Cura","İyileştirme Büyüsü","ヒーリングの呪文","疗伤法术","회복 마법","Исцеляющее Заклинание","سحر الشفاء","療傷法術","طلسم شفابخش","Mantra Penyembuh","Sihir Penyembuhan","Healing Spell","Thần chú Chữa lành"
"TID_HASTE","Rage Spell","Sort de rage","Wutzauber","Hechizo de furia","Furia","Woedespreuk","Raseriformel","Feitiço de Fúria","Öfke Büyüsü","レイジの呪文","狂暴法术","분노 마법","Заклинание Ярости","سحر الغضب","狂暴法術","طلسم خشم","Mantra Amarah","Sihir Kemarahan","Rage Spell","Thần chú Thịnh nộ"
"TID_HASTE_DAMAGE","Damage increase: <number>%","Augmentation des dégâts : <number> %","Schadenserhöhung: <number> %","Aumento de daño: <number> %","Incremento danno: <number>%","Toename schade: <number>%","Skadeøkning: <number> %","Aumento de dano: <number>%","Hasar artışı: %<number>","ダメージ上昇： <number>%","增加伤害：<number>%","공격력 증가: <number>%","Увеличение урона: <number> %","زيادة الضرر: <number>%","提高傷害：<number>%","افزایش آسیب: <number>%","Pertambahan kerusakan: <number>%","Penambahan kerosakan: <number>%","Dagdag sa damage: <number>%","Tăng sát thương: <number>%"
"TID_REQUIRED_SPELL_FORGE_LEVEL","Level <number> Spell Factory required","Usine de sorts de niveau <number> nécessaire","Zauberfabrik auf Level <number> erforderlich","Requiere caldero de hechizos de nivel <number>.","Richiede fabbrica degli incantesimi di livello <number>","Spreukenfabriek van level <number> vereist","Krever formelfabrikk på nivå <number>","Fábrica de Feitiços nível <number> necessária","<number>. Seviye Büyü Fabrikası gerekiyor","必要条件\n呪文工場レベル<number>","需要<number>级法术工厂","레벨 <number> 마법 제작소 필요","Нужна Фабрика Заклинаний <number> уровня","يجب توفر مصنع سحر من المستوى <number>","需要<number>級法術工廠","سطح <number> کارخانه طلسم ضروری است","Perlu Pabrik Mantra Level <number>","Kilang Sihir Tahap <number> diperlukan","Kailangan ng Level <number> na Spell Factory","Yêu cầu Nhà máy Thần chú Cấp <number>"
"TID_UNLOCK_SPELL_FORGE_SPELL","Unlocks spell:","Sorts débloqués :","Schaltet Zauber frei:","Se desbloquearán estos hechizos:","Sblocca l'incantesimo:","Ontgrendelt spreuk:","Låser opp formel:","Desbloqueia feitiço:","Kilidi açılacak büyü:","以下の呪文が使用可能になります：","解锁法术：","새로운 마법:","Откроет заклинание:","إلغاء قفل السحر:","解鎖法術：","طلسم‌ها را بازگشایی می‌کند:","Membuka mantra:","Membuka kunci sihir:","Ina-unlock ang spell na:","Mở khóa thần chú:"
"TID_POPUP_UPGRADE_ALREADY_IN_PROGRESS","Upgrade in progress","Amélioration en cours","Verbesserung läuft","Mejora en progreso","Miglioramento in corso","Bezig met upgrade","Oppgradering pågår","Melhoria em andamento","Yükseltme sürüyor","アップグレード中","正在升级中","업그레이드 중","Идет улучшение","الترقية قيد التقدم","正在進行升級","ارتقا در حال انجام","Sedang ditingkatkan","Naik taraf sedang dijalankan","Kasalukuyang nag-a-upgrade","Đang trong quá trình nâng cấp"
"TID_TIP_SPELL_FORGE","Brew powerful spells that can be used when attacking","Concoctez des sorts puissants à utiliser en attaque.","Braue mächtige Zauber, die zum Angriff verwendet werden können.","Elabora poderosos hechizos y úsalos en los ataques.","Prepara potenti incantesimi utilizzabili durante gli attacchi","Brouw krachtige spreuken die je kunt gebruiken tijdens een aanval.","Brygg mektige formler som du kan bruke under angrep","Prepare feitiços poderosos que podem ser usados ao atacar","Saldırırken kullanmak için güçlü büyüler üret","攻撃時に使えるパワフルな呪文を生み出します","配制强大的法术让您在战斗中如虎添翼","공격에 사용할 수 있는 강력한 마법을 제조합니다.","Готовьте сильнодействующие заклинания, которые можно использовать во время нападения.","اصنع عناصر سحرية قوية يمكن استخدامها عند الهجوم","配製力量強大的法術讓您進攻時如虎添翼","طلسم‌های قدرتمند را که می‌توان در حین حمله استفاده کرد بسازید","Racik mantra kuat yang dapat dipakai saat menyerang","Bru sihir berkuasa yang boleh digunakan semasa menyerang","Mag-brew ng malalakas na spell na pwedeng gamitin habang umaatake","Hãy luyện những câu thần chú quyền năng để sử dụng khi tấn công"
"TID_POPUP_FORGE_TITLE","Brew spells <limit>","Concocter des sorts <limit>","Zauber brauen: <limit>","Elaborar hechizos <limit>","Prepara incantesimi <limit>","Spreuken brouwen: <limit>","Brygg formler <limit>","Preparar feitiços <limit>","<limit> Büyü üret","呪文生成 <limit>","配制法术：<limit>","마법 제조 <limit>","Готовятся заклинания <limit>","صناعة عناصر سحرية <limit>","配製法術 <limit>","<limit> ساخت طلسم","Racik mantra <limit>","Sihir bru <limit>","Mag-brew ng mga spell <limit>","Luyện thần chú <limit>"
"TID_CANCLE_TRAINING_INFO","Note! Removing troops from the queue will refund only <number>% of the cost.","Attention : en annulant les troupes en attente, vous ne récupérerez que <number> % de leur coût.","Achtung! Wenn du Truppen aus der Warteschlange entfernst, werden nur <number> % der Kosten erstattet.","¡Cuidado! Al eliminar tropas de la cola solo recuperarás el <number> % del coste.","Nota: la rimozione delle truppe dalla coda rimborserà solo il <number>% del costo.","Let op! Het verwijderen van troepen uit de wachtrij levert slechts <number>% van de kosten op.","Obs! Hvis du fjerner soldater fra køen, får du kun refundert <number> % av prisen.","Atenção! Remover tropas da fila reembolsará apenas <number>% do custo.","Not! Birlik üretimi iptal edilirse maliyetin %<number> kadarı iade edilir.","注： ユニットの訓練予約をキャンセルした場合、コストの<number>%しかもどってきません。","注意！移除列队中的军队只能返还<number>%的费用。","주의! 대기열에서 유닛 훈련을 취소하면 훈련 비용의 <number>%만 돌려받습니다.","Внимание! При удалении воинов из очереди вам возвратится только <number> % от их стоимости.","ملاحظة! إزالة القوات من قائمة الانتظار ستؤدي إلى استرداد <number>% فقط من التكلفة.","注意！從列表中移除部隊只會退還<number>%的花費。","توجه! حذف نیروها از صف فقط <number>% از هزینه را بازپرداخت می‌کند.","Ingat! Menyingkirkan peleton dari antrean hanya akan mengembalikan <number>% dari biaya.","Perhatian! Membuang askar dari baris akan membayar balik hanya <number>% kos.","Tandaan! <number>% lang ng cost ang mare-refund kapag nag-alis ka ng mga troop sa queue.","Lưu ý! Xóa binh lính khỏi hàng đợi sẽ chỉ được hoàn lại <number>% chi phí."
"TID_CANCLE_SPELL_INFO","Note! Removing spells from the queue will refund only <number>% of the cost.","Attention : en annulant les sorts en attente, vous ne récupérerez que <number> % de leur coût.","Achtung! Wenn du Zauber aus der Warteschlange entfernst, werden nur <number> % der Kosten erstattet.","¡Cuidado! Al eliminar hechizos de la cola solo recuperarás el <number> % del coste.","Nota: la rimozione degli incantesimi dalla coda rimborserà solo il <number>% del costo.","Let op! Het verwijderen van spreuken uit de wachtrij levert slechts <number>% van de kosten op.","Obs! Hvis du fjerner formler fra køen, får du kun refundert <number> % av prisen.","Atenção! Remover feitiços da fila reembolsará apenas <number>% do custo.","Not! Sıradaki büyü iptal edilirse maliyetin %<number> kadarı iade edilir.","注： 呪文の準備予約をキャンセルした場合、コストの<number>%しかもどってきません。","注意！移除队列中的法术只会返还<number>%的费用。","주의! 대기열에서 마법 제작을 취소하면 제작 비용의 <number>%만 돌려받습니다.","Внимание! При удалении заклинаний из очереди вам возвратится только <number> % от их стоимости.","ملاحظة! إزالة العناصر السحرية من قائمة الانتظار ستؤدي إلى استرداد <number>% فقط من التكلفة.","注意！從列表中移除法術只會退還<number>%的花費。","توجه! حذف طلسم از صف فقط <number>% از هزینه را بازپرداخت می‌کند.","Ingat! Menyingkirkan mantra dari antrean hanya akan mengembalikan <number>% dari biaya.","Perhatian! Membuang sihir dari baris akan membayar balik hanya <number>% kos.","Tandaan! <number>% lang ng cost ang mare-refund kapag nag-alis ka ng mga spell sa queue.","Lưu ý! Xóa thần chú khỏi hàng đợi sẽ chỉ được hoàn lại <number>% chi phí."
"TID_HASTE_SPEED","Speed increase: <number>","Augmentation de la vitesse : <number>","Geschwindigkeitserhöhung: <number>","Aumento de velocidad: <number>","Aumento velocità: <number>","Toename snelheid: <number>","Hastighetsøkning: <number>","Aumento de velocidade: <number>","Hız artışı: <number>","速度上昇： <number>","增加速度：<number>","속도 증가: <number>","Увеличение скорости: <number>","زيادة السرعة: <number>","提高速度：<number>","افزایش سرعت: <number>","Pertambahan kecepatan: <number>","Kelajuan bertambah: <number>","Dagdag sa speed: <number>","Tăng tốc độ: <number>"
"TID_INFO_EFFECT_TYPE","Effect type:","Type d'effet :","Effekttyp:","Tipo de efecto:","Tipo effetto:","Soort effect:","Type effekt:","Tipo de efeito:","Etki türü:","効果の種類：","影响类型：","마법 유형:","Вид эффекта:","نوع التأثير:","影響類型：","نوع اثر:","Tipe efek:","Jenis kesan:","Uri ng effect:","Loại hiệu ứng:"
"TID_TOTAL_HEAL","Total heal: <number>","Guérison totale : <number>","Gesamtheilung: <number>","Curación total: <number>","Totale guarigione: <number>","Totale genezing: <number>","Total helbredelse: <number>","Cura total: <number>","Toplam iyileştirme: <number>","合計回復量： <number>","总恢复能力：<number>","총 치유량: <number>","Исцеление: <number>","إجمالي الشفاء: <number>","治療總量：<number>","شفای کلی: <number>","Total penyembuhan: <number>","Jumlah sembuh: <number>","Total na heal: <number>","Tổng chữa lành: <number>"
"TID_REPLAY_BUTTON_FAIL","Replay is no longer available!","La vidéo n'est plus disponible !","Wiederholung ist nicht mehr verfügbar!","La repetición ya no está disponible.","Il replay non è più disponibile!","Herhaling is niet meer beschikbaar!","Reprisen er ikke lenger tilgjengelig.","O replay não está mais disponível!","Tekrar artık mevcut değil!","このリプレイはもう期限切れです！","抱歉，已无法回放！","더는 재생할 수 없습니다!","Повтор больше не доступен!","لم تعد إعادة العرض متوفرة!","抱歉，已無法重播！","بازپخش دیگر در دسترس نیست!","Tayangan tidak tersedia lagi!","Main Balik tiada lagi!","Hindi na available ang replay!","Đoạn phim phát lại không còn khả dụng!"
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","Challenge friends","Défier vos amis","Freunde herausfordern","Desafiar a amigos","Sfida gli amici","Vrienden uitdagen","Utfordre venner","Desafiar amigos","Arkadaşlarınla kapış","フレンドに挑戦","挑战好友","친구에게 도전","Брось вызов друзьям","تحدي الأصدقاء","挑戰好友","دوستان را به مبارزه بطلبید","Tantang teman","Cabar rakan","I-challenge ang mga kaibigan","Thách đấu bạn bè"
"TID_NAME_INSTRUCTIONS","Pick a name you like. It is shown to other players and you can´t change it later!","Choisissez un nom. Attention, il sera visible par les autres joueurs et vous ne pourrez pas en changer !","Wähle einen Namen, der dir gefällt. Er wird Anderen angezeigt und kann nicht geändert werden!","Elige un nombre que te guste; es el que verán los demás jugadores y no podrás cambiarlo.","Scegli un nome che ti piace per farti conoscere dagli altri giocatori. Non potrai più cambiarlo!","Kies een leuke naam die zichtbaar is voor andere spelers. Je kunt deze later niet meer wijzigen!","Velg et navn som du liker. Det vises til andre spillere, og du kan ikke forandre det senere.","Escolha bem o nome. Ele é exibido para outros jogadores e não é possível alterá-lo!","İyi bir ad seç. Bu ad diğer oyunculara görünür ve onu daha sonra değiştiremezsin!","これはあなたのゲーム内での名前で、他のプレイヤーにも表示されます。後から変更できないので、よく考えて決めてください！","请选择合适的村庄名称。其他玩家会看到您的村庄名称，该名称无法再次更改！","이름을 입력하세요. 이름은 다른 플레이어에게 보여지며, 나중에 다시 바꿀 수 없습니다!","Выберите имя. Его будут видеть другие игроки, и позже изменить вы его не сможете!","اختر اسمًا تفضله. يُعرض للاعبين الآخرين ولا يمكنك تغييره لاحقًا!","請挑選您喜歡的名稱。其他玩家將會看到您的新名稱，而且之後無法變更！","نامی که دوست دارید را انتخاب کنی. این نام برای سایر بازیکنان نشان داده می‌شود و بعداً نمی‌توانید آن را تغییر دهید!","Pilih nama yang disukai. Nama ini akan ditunjukkan ke pemain lain dan tidak bisa diganti nanti!","Pilih nama yang anda suka. Ditunjukkan kepada pemain lain dan anda tidak boleh menukarnya kemudian!","Pumili ng pangalan na gusto mo. Makikita ito ng iba pang mga player at hindi mo na ito mapapalitan!","Hãy chọn một tên bạn thích. Tên này sẽ được hiển thị cho những người chơi khác và bạn không thể thay đổi sau này!"
"TID_BUTTON_REPLAY","Replay","Visionner","Wiederholung","Repetición","Replay","Herhaling","Reprise","Replay","Tekrar","リプレイ","回放","재생","Повтор","إعادة العرض","重播","بازپخش","Tayangkan","Main Balik","I-replay","Phát lại"
"TID_REPLAY_TIME","Replay ends in:","La vidéo se termine dans :","Wiederholung endet in:","La repetición termina en:","Il replay termina tra:","Herhaling eindigt over:","Reprisen slutter om:","O replay termina em:","Tekrarın bitişine kalan:","リプレイ終了まで：","离回放结束还有：","남은 재생 시간:","Конец Повтора через:","تنتهي إعادة العرض في:","離影片結束剩下：","بازپخش خاتمه می‌یابد در:","Tayangan berakhir dalam:","Main balik tamat dalam:","Matatapos ang replay pagkalipas ng:","Phim phát lại kết thúc sau:"
"TID_GC_CHALLENGE","Challenge friends","Défier vos amis","Freunde herausfordern","Desafiar a amigos","Sfida gli amici","Vrienden uitdagen","Utfordre venner","Desafiar amigos","Arkadaşlarınla kapış","フレンドに挑戦","挑战好友","친구에게 도전","Брось вызов друзьям","تحدي الأصدقاء","挑戰好友","دوستان را به چالش بکشید","Tantang teman","Cabar rakan","I-challenge ang mga kaibigan","Thách đấu bạn bè"
"TID_GC_NOCHALLENGE","Open achievements","Liste des succès","Offene Errungenschaften","Abrir logros","Apri obiettivi","Openstaande prestaties","Åpne utmerkelser","Abrir conquistas","Açık başarılar","達成項目を開く","打开成就","새로운 도전 과제 개발","Открыть достижения","فتح الإنجازات","打開成就","باز کردن دستاوردها","Buka pencapaian","Buka pencapaian","Buksan ang mga achievement","Mở thành tích"
"TID_POPUP_HEADER_ABOUT_TO_SPEED_UP","Finish now!","Terminer maintenant","Jetzt beenden!","Terminar ya","Completa ora!","Nu voltooien!","Fullfør nå!","Concluir agora!","Şimdi bitir!","今すぐ終える","现在完成！","즉시 완료!","Заверши Сейчас!","الإنهاء الآن!","立即完成！","اکنون تمام شود!","Selesaikan sekarang!","Selesaikan sekarang!","Tapusin na!","Hoàn thành ngay!"
"TID_POPUP_SPEED_UP_UPGRADE","Do you want to finish the upgrade of <item> for <number> Gems?","Voulez-vous terminer l'amélioration de votre <item> pour <number> gemmes ?","Möchtest du die Verbesserung von <item> für <number> Juwelen beenden?","¿Quieres terminar la mejora de tu <item> por <number> gemas?","Vuoi completare il miglioramento di: <item> per <number> gemme?","Wil je de upgrade van een <item> voor <number> edelstenen voltooien?","Ønsker du å fullføre oppgraderingen av <item> for <number> Juveler?","Quer concluir a melhoria do(a) <item> por <number> Gemas?","<number> Taş karşılığında <item> yükseltmesini bitirmek ister misin?","エメラルド <number> で<item>の\nアップグレードを今すぐ終わらせますか？","您想用<number>颗宝石加速对<item>的升级吗？","보석 <number>개로 <item> 업그레이드를 즉시 완료할까요?","<item>: хотите завершить строительство за кристаллы (<number> шт.)?","هل ترغب في إنهاء ترقية <item> مقابل <number> جوهرة؟","是否要花費<number>顆寶石加速完成<item>的升級？","آیا می‌خواهید ارتقا <item> را به ازای <number> جواهر تمام کنید؟","Ingin menyelesaikan peningkatan <item> dengan <number> Permata?","Anda ingin menyelesaikan naik taraf <item> untuk <number> Permata?","Gusto mo bang tapusin ang pag-upgrade ng <item> kapalit ng <number> (na) Gem?","Bạn có muốn hoàn thành việc nâng cấp <item> với <number> Ngọc không?"
"TID_POPUP_SPEED_UP_CONSTRUCTION","Do you want to finish the construction of <item> for <number> Gems?","Voulez-vous terminer la construction de votre <item> pour <number> gemmes ?","Möchtest du den Bau von <item> für <number> Juwelen beenden?","¿Quieres terminar la construcción de tu <item> por <number> gemas?","Vuoi completare la costruzione di: <item> per <number> gemme?","Wil je de bouw van een <item> voor <number> edelstenen voltooien?","Ønsker du å bygge ferdig <item> for <number> Juveler?","Quer concluir a construção do(a) <item> por <number> Gemas?","<number> Taş karşılığında <item> inşasını bitirmek ister misin?","エメラルド <number> で<item>の建設を\n今すぐ終わらせますか？","您想用<number>颗宝石加速对<item>的修建吗？","보석 <number>개로 <item> 건설을 즉시 완료할까요?","<item>: хотите завершить строительство за кристаллы (<number> шт.)?","هل تريد إنهاء إنشاء <item> مقابل <number> جوهرة؟","是否要花費<number>顆寶石加速完成<item>的修建？","آیا می‌خواهید ساخت <item> را به ازای <number> جواهر تمام کنید؟","Ingin menyelesaikan pembangunan <item> dengan <number> Permata?","Anda ingin menyelesaikan pembinaan <item> untuk <number> Permata?","Gusto mo bang tapusin ang paggawa ng <item> kapalit ng <number> (na) Gem?","Bạn có muốn hoàn thành việc xây dựng <item> bằng <number> Ngọc không?"
"TID_BUTTON_CREATE_SPELL","Brew","Concocter","Brauen","Elaborar","Prepara","Brouwen","Brygg","Preparar","Üret","生成","配制","제조","Готовить","صناعة","配製","معجون","Racik","Bru","Mag-brew","Luyện chú"
"TID_REVENGE_NOT_AVAILABLE","Revenge not available","Vengeance non disponible","Vergeltung nicht verfügbar","Venganza no disponible","Vendetta non disponibile","Wraak is niet beschikbaar","Hevn er ikke tilgjengelig","Vingança não disponível","İntikam mevcut değil","リベンジできません","无法复仇","복수 불가","Отомстить невозможно","الانتقام غير متاح","無法復仇","انتقام در دسترس نیست","Pembalasan tidak tersedia","Tuntut bela tiada","Hindi available ang revenge","Không thể Trả thù"
"TID_REPLAY_NOT_AVAILABLE","Replay not available","Visionnage non disponible","Keine Wiederholung","Repetición no disponible","Replay non disponibile","Geen herhaling","Reprisen er ikke tilgjengelig","Replay não disponível","Tekrar mevcut değil","リプレイ視聴不可","抱歉，已无法回放！","재생 불가","Повтор недоступен","إعادة العرض غير متاحة","重播無法使用","بازپخش در دسترس نیست","Tayangan tidak tersedia","Main balik tiada","Hindi available ang replay","Đoạn phim phát lại không khả dụng"
"TID_RESTART_REPLAY_BUTTON","Restart","Recommencer","Erneut starten","Reiniciar","Riavvia","Opnieuw beginnen","Omstart","Reiniciar","Yeniden Başlat","最初から","重新开始","다시 시작","Перезапустить","إعادة التشغيل","重新開始","شروع مجدد","Ulangi","Mula Semula","I-restart","Khởi động lại"
"TID_REPLAY_REPLAY","Replay","Visionner","Wiederholung","Repetición","Replay","Herhaling","Reprise","Replay","Tekrar","リプレイ","回放","재생","Повтор","إعادة العرض","回放","بازپخش","Tayangan","Main Balik","I-replay","Phát lại"
"TID_REPLAY_SPEED","Replay Speed:","Vitesse du visionnage :","Wiederholungsgeschwindigkeit:","Velocidad de repetición:","Velocità replay:","Snelheid van herhaling:","Hastighet på reprise:","Velocidade do replay:","Tekrar Hızı:","リプレイ速度：","回放速度：","재생 속도:","Скорость Повтора:","سرعة إعادة العرض:","播放速度：","سرعت بازپخش:","Kecepatan Tayangan:","Kelajuan Main Balik:","Bilis ng Replay:","Tốc độ Phát lại:"
"TID_REPLAY_PLAY_AGAIN","Play Again","Rejouer","Erneut spielen","Volver a reproducir","Gioca ancora","Opnieuw afspelen","Spill på nytt","Ver novamente","Tekrar Oynat","もう一度見る","重播","다시 보기","Просмотреть Заново","اللعب مرة أخرى","重新播放","پخش مجدد","Main Lagi","Main Sekali Lagi","I-play Ulit","Phát lại Lần nữa"
"TID_UPGRADE_FINISH_NOW","Finish Upgrade:","Finir l'amélioration :","Verbesserung beenden:","Terminar mejora:","Completa ora:","Upgrade voltooien:","Fullfør oppgradering","Concluir Melhoria:","Yükseltmeyi Bitir:","アップグレードを完了：","升级完成：","즉시 업그레이드:","Закончить улучшение:","إنهاء الترقية:","升級完成：","اتمام ارتقا:","Selesaikan Peningkatan:","Selesai Menaik Taraf:","Tapusin ang Pag-upgrade:","Hoàn thành Nâng cấp:"
"TID_FINISH_SPELL","Finish now:","Terminer maintenant :","Jetzt beenden:","Terminar ya:","Completa ora:","Nu voltooien:","Fullfør nå","Concluir agora:","Şimdi bitir:","今すぐ完了：","立刻完成：","즉시 완성:","Заверши Сейчас:","إنهاء الآن:","立即完成：","اکنون تمام شود:","Selesaikan sekarang:","Selesaikan sekarang:","Tapusin na:","Hoàn tất ngay:"
"TID_TARGET_ALREADY_IN_ALLIANCE","Player is already in a Clan.","Le joueur est déjà dans un clan.","Der Spieler ist bereits Mitglied eines Clans.","Este jugador ya está en un clan.","Il giocatore fa già parte di un clan.","Speler hoort al bij een clan","Spilleren er allerede med i klanen.","O jogador já está em um Clã.","Oyuncu zaten bir Klanda.","このプレイヤーはすでにクランに参加しています。","玩家已经加入其他部落了。","이미 다른 클랜에 가입한 사용자입니다.","Игрок уже в Клане.","اللاعب في قبيلة بالفعل.","玩家已經在其他部落中了。","بازیکن فعلا در یک قبیله است.","Pemain sudah masuk Klan.","Pemain sudah berada dalam Klan.","May Clan na ang player.","Ngươi chơi đã tham gia một Hội."
"TID_LIGHTNING_STORM_INFO","Electrocute your enemies with bolts of lightning!\n\nCast this spell at the enemy village to damage buildings and units inside a small area.","Électrocutez vos ennemis avec des éclairs foudroyants !\n\nLancez ce sort sur un village ennemi pour endommager les bâtiments et unités qui se trouvent dans sa petite zone d'effet.","Töte deine Feinde mit Blitzen!\n\nWirke diesen Zauber gegen ein feindliches Dorf, um Gebäuden und Truppen in einem kleinen Bereich Schaden zuzufügen.","¡Electrocuta a tus enemigos con rayos!\n\nUsa este hechizo contra la aldea enemiga para dañar edificios y unidades en un área reducida.","Folgora i nemici con dei micidiali fulmini!\n\nLancia questo incantesimo contro il villaggio nemico per infliggere danni agli edifici e alle unità entro un'area limitata.","Elektrocuteer je vijanden met bliksemschichten!\n\nSpreek deze toverspreuk uit tegen het vijandelijke dorp om gebouwen en eenheden binnen een klein gebied te beschadigen.","Angrip fiendene med lynnedslag!\n\nBruk denne formelen på fiendelandsbyer for å ødelegge bygninger og enheter i en begrenset område.","Eletrocute os inimigos com raios!\n\nLance este feitiço na vila inimiga para destruir estruturas dentro de uma área pequena.","Şimşekleri kullanarak düşmanları elektrikle yok et!\n\nKüçük bir alandaki bina ve birimlere hasar vermek için bu büyüyü düşman köyünde yap.","敵をカミナリで感電させます！\n\n相手の村にかけましょう。せまい範囲内の建物やユニットにダメージを与えられます。","用闪电电击敌军！\n\n向敌军村庄施展雷电法术，摧毁建筑并攻击小范围内的部队。","진정한 번개가 무엇인지 보여주세요!\n\n이 마법을 사용하면 해당 지역 내 적 건물과 유닛에 피해를 줍니다.","Нанесите молниеностные удары противникам!\n\nНаложите эти заклинания в деревне врага, чтобы наносить урон постройкам или воинам внутри небольшой зоны.","اصعق أعدائك بصواعق من البرق!\n\nقم بإلقاء هذا السحر على قرية العدو للتأثير على المباني والوحدات داخل جزء صغير.","可以將閃電劈向敵軍！\n\n在敵人的村莊中施放此法術可破壞小範圍內的建築物和作戰單位。","دشمن‌های خود را با شلیک رعد و برق با برق‌گرفتگی به هلاکت برسانید!\n\nاین طلسم را برای آسیب رساندن به ساختمان‌ها و واحدهای داخل یک منطقه کوچک در دهکده دشمن آزاد کنید.","Setrum musuhmu dengan kilatan petir!\n\nGunakan mantra ini di desa musuh untuk merusak bangunan dan unit di dalam area kecil.","Kenakan kejutan elektrik kepada musuh dengan kilat!\n\nBuat sihir ini kepada kampung musuh untuk merosakkan bangunan dan unit di dalam kawasan kecil.","Kuryentehin ang mga kalaban mo gamit ang mga lightning bolt!\n\nI-cast ang spell na ito sa village ng kalaban para ma-damage ang mga building at unit na nasa loob ng isang maliit na area.","Tấn công kẻ địch bằng những tia sét!\n\nNiệm thần chú này vào làng của kẻ địch để phá hủy các tòa nhà và đội quân trong khu vực hẹp."
